"DateTime","Commits","Stars","Open Issues"
"2020-05-05 00:00:00",26966,47465,579
"2020-05-06 00:00:00",26988,47475,579
"2020-05-07 00:00:00",27006,47491,572
"2020-05-08 00:00:00",27010,47509,568
"2020-05-09 00:00:00",27026,47525,504
"2020-05-10 00:00:00",27026,47544,493
"2020-05-11 00:00:00",27030,47569,496
"2020-05-12 00:00:00",27050,47609,496
"2020-05-13 00:00:00",27067,47631,496
"2020-05-14 00:00:00",27089,47657,498
"2020-05-15 00:00:00",27106,47679,499
"2020-05-16 00:00:00",27113,47695,501
"2020-05-17 00:00:00",27118,47720,502
"2020-05-18 00:00:00",27118,47736,504
"2020-05-19 00:00:00",27130,47746,498
"2020-05-20 00:00:00",27162,47768,500
"2020-05-21 00:00:00",27178,47787,505
"2020-05-22 00:00:00",27212,47803,508
"2020-05-23 00:00:00",27230,47808,509
"2020-05-24 00:00:00",27230,47823,510
"2020-05-25 00:00:00",27230,47837,511
"2020-05-26 00:00:00",27248,47851,510
"2020-05-27 00:00:00",27275,47869,511
"2020-05-28 00:00:00",27283,47882,513
"2020-05-29 00:00:00",27322,47892,509
"2020-05-30 00:00:00",27340,47904,509
"2020-05-31 00:00:00",27353,47919,506
"2020-06-01 00:00:00",27376,47932,510
"2020-06-02 00:00:00",27407,47943,509
"2020-06-03 00:00:00",27425,47951,511
"2020-06-04 00:00:00",27444,47974,515
"2020-06-05 00:00:00",27474,47992,516
"2020-06-06 00:00:00",27477,48007,517
"2020-06-07 00:00:00",27482,48031,517
"2020-06-08 00:00:00",27501,48046,517
"2020-06-09 00:00:00",27512,48061,520
"2020-06-10 00:00:00",27522,48070,523
"2020-06-11 00:00:00",27533,48083,523
"2020-06-12 00:00:00",27554,48090,524
"2020-06-13 00:00:00",27577,48105,525
"2020-06-14 00:00:00",27581,48119,525
"2020-06-15 00:00:00",27585,48135,525
"2020-06-16 00:00:00",27601,48148,525
"2020-06-17 00:00:00",27630,48165,524
"2020-06-18 00:00:00",27642,48182,526
"2020-06-19 00:00:00",27664,48199,527
"2020-06-20 00:00:00",27679,48214,526
"2020-06-21 00:00:00",27715,48221,529
"2020-06-22 00:00:00",27725,48235,531
"2020-06-23 00:00:00",27740,48256,534
"2020-06-24 00:00:00",27744,48268,535
"2020-06-25 00:00:00",27817,48283,535
"2020-06-26 00:00:00",27842,48287,534
"2020-06-27 00:00:00",27852,48285,537
"2020-06-28 00:00:00",27854,48298,535
"2020-06-29 00:00:00",27867,48309,538
"2020-06-30 00:00:00",27889,48321,537
"2020-07-01 00:00:00",27895,48332,538
"2020-07-02 00:00:00",27920,48340,536
"2020-07-03 00:00:00",27952,48348,534
"2020-07-04 00:00:00",27957,48360,535
"2020-07-05 00:00:00",27959,48373,534
"2020-07-06 00:00:00",27970,48383,537
"2020-07-07 00:00:00",27972,48397,539
"2020-07-08 00:00:00",27975,48420,540
"2020-07-09 00:00:00",27986,48430,539
"2020-07-10 00:00:00",28012,48436,540
"2020-07-11 00:00:00",28040,48445,541
"2020-07-12 00:00:00",28046,48451,543
"2020-07-13 00:00:00",28054,48458,544
"2020-07-14 00:00:00",28075,48478,545
"2020-07-15 00:00:00",28092,48483,545
"2020-07-16 00:00:00",28126,48502,545
"2020-07-17 00:00:00",28141,48547,546
"2020-07-18 00:00:00",28153,48576,547
"2020-07-19 00:00:00",28155,48602,548
"2020-07-20 00:00:00",28155,48626,549
"2020-07-21 00:00:00",28166,48648,548
"2020-07-22 00:00:00",28180,48663,547
"2020-07-23 00:00:00",28209,48675,549
"2020-07-24 00:00:00",28218,48683,549
"2020-07-25 00:00:00",28223,48702,551
"2020-07-26 00:00:00",28223,48715,551
"2020-07-27 00:00:00",28228,48729,552
"2020-07-28 00:00:00",28242,48751,554
"2020-07-29 00:00:00",28252,48762,556
"2020-07-30 00:00:00",28267,48789,557
"2020-07-31 00:00:00",28298,48799,554
"2020-08-01 00:00:00",28313,48815,553
"2020-08-02 00:00:00",28317,48833,553
"2020-08-03 00:00:00",28319,48844,554
"2020-08-04 00:00:00",28338,48863,554
"2020-08-05 00:00:00",28352,48889,555
"2020-08-06 00:00:00",28360,48899,554
"2020-08-07 00:00:00",28365,48923,557
"2020-08-08 00:00:00",28365,48939,559
"2020-08-09 00:00:00",28367,48952,558
"2020-08-10 00:00:00",28381,48965,547
"2020-08-11 00:00:00",28390,48982,546
"2020-08-12 00:00:00",28410,48994,549
"2020-08-13 00:00:00",28431,49009,546
"2020-08-14 00:00:00",28451,49027,541
"2020-08-15 00:00:00",28468,49047,538
"2020-08-16 00:00:00",28475,49056,538
"2020-08-17 00:00:00",28482,49078,538
"2020-08-18 00:00:00",28493,49092,537
"2020-08-19 00:00:00",28496,49116,536
"2020-08-20 00:00:00",28507,49131,538
"2020-08-21 00:00:00",28536,49148,538
"2020-08-22 00:00:00",28538,49157,537
"2020-08-23 00:00:00",28540,49168,537
"2020-08-24 00:00:00",28547,49182,536
"2020-08-25 00:00:00",28568,49194,541
"2020-08-26 00:00:00",28587,49211,544
"2020-08-27 00:00:00",28626,49220,545
"2020-08-28 00:00:00",28640,49232,547
"2020-08-29 00:00:00",28661,49241,546
"2020-08-30 00:00:00",28661,49254,548
"2020-08-31 00:00:00",28686,49272,546
"2020-09-01 00:00:00",28711,49285,545
"2020-09-02 00:00:00",28731,49300,546
"2020-09-03 00:00:00",28764,49311,546
"2020-09-04 00:00:00",28778,49319,546
"2020-09-05 00:00:00",28788,49326,547
"2020-09-06 00:00:00",28798,49336,548
"2020-09-07 00:00:00",28818,49377,548
"2020-09-08 00:00:00",28831,49468,547
"2020-09-09 00:00:00",28836,49556,550
"2020-09-10 00:00:00",28836,49569,552
"2020-09-11 00:00:00",28846,49581,551
"2020-09-12 00:00:00",28852,49598,554
"2020-09-13 00:00:00",28854,49615,555
"2020-09-14 00:00:00",28859,49627,554
"2020-09-15 00:00:00",28884,49638,554
"2020-09-16 00:00:00",28891,49654,553
"2020-09-17 00:00:00",28895,49658,555
"2020-09-18 00:00:00",28898,49671,555
"2020-09-19 00:00:00",28914,49683,555
"2020-09-20 00:00:00",28919,49693,556
"2020-09-21 00:00:00",28919,49706,556
"2020-09-22 00:00:00",28940,49726,558
"2020-09-23 00:00:00",28958,49746,558
"2020-09-24 00:00:00",28977,49751,558
"2020-09-25 00:00:00",28982,49757,560
"2020-09-26 00:00:00",28984,49764,559
"2020-09-27 00:00:00",28992,49782,559
"2020-09-28 00:00:00",28998,49791,559
"2020-09-29 00:00:00",29028,49806,561
"2020-09-30 00:00:00",29045,49819,561
"2020-10-01 00:00:00",29072,49839,563
"2020-10-02 00:00:00",29097,49848,559
"2020-10-03 00:00:00",29112,49859,560
"2020-10-04 00:00:00",29120,49870,560
"2020-10-05 00:00:00",29127,49881,562
"2020-10-06 00:00:00",29165,49894,564
"2020-10-07 00:00:00",29176,49897,563
"2020-10-08 00:00:00",29185,49914,567
"2020-10-09 00:00:00",29196,49924,566
"2020-10-10 00:00:00",29196,49945,566
"2020-10-11 00:00:00",29201,49965,567
"2020-10-12 00:00:00",29204,49995,569
"2020-10-13 00:00:00",29210,50014,568
"2020-10-14 00:00:00",29220,50028,567
"2020-10-15 00:00:00",29300,50055,568
"2020-10-16 00:00:00",29335,50080,569
"2020-10-17 00:00:00",29337,50095,572
"2020-10-18 00:00:00",29343,50104,573
"2020-10-19 00:00:00",29365,50113,575
"2020-10-20 00:00:00",29370,50127,575
"2020-10-21 00:00:00",29370,50138,576
"2020-10-22 00:00:00",29385,50154,574
"2020-10-23 00:00:00",29394,50165,576
"2020-10-24 00:00:00",29396,50181,577
"2020-10-25 00:00:00",29398,50200,578
"2020-10-26 00:00:00",29398,50218,580
"2020-10-27 00:00:00",29408,50253,582
"2020-10-28 00:00:00",29415,50271,581
"2020-10-29 00:00:00",29435,50282,580
"2020-10-30 00:00:00",29437,50303,580
"2020-10-31 00:00:00",29437,50314,580
"2020-11-01 00:00:00",29437,50328,580
"2020-11-02 00:00:00",29452,50341,579
"2020-11-03 00:00:00",29485,50359,581
"2020-11-04 00:00:00",29506,50379,581
"2020-11-05 00:00:00",29522,50388,578
"2020-11-06 00:00:00",29532,50408,580
"2020-11-07 00:00:00",29537,50421,580
"2020-11-08 00:00:00",29537,50441,582
"2020-11-09 00:00:00",29537,50461,583
"2020-11-10 00:00:00",29564,50477,584
"2020-11-11 00:00:00",29566,50494,583
"2020-11-12 00:00:00",29587,50513,583
"2020-11-13 00:00:00",29596,50527,584
"2020-11-14 00:00:00",29596,50545,586
"2020-11-15 00:00:00",29598,50564,589
"2020-11-16 00:00:00",29618,50607,587
"2020-11-17 00:00:00",29628,50689,586
"2020-11-18 00:00:00",29657,50712,585
"2020-11-19 00:00:00",29688,50727,585
"2020-11-20 00:00:00",29728,50754,585
"2020-11-21 00:00:00",29734,50776,585
"2020-11-22 00:00:00",29741,50796,585
"2020-11-23 00:00:00",29751,50806,587
"2020-11-24 00:00:00",29776,50822,587
"2020-11-25 00:00:00",29791,50847,589
"2020-11-26 00:00:00",29800,50874,590
"2020-11-27 00:00:00",29802,50886,592
"2020-11-28 00:00:00",29806,50898,592
"2020-11-29 00:00:00",29808,50913,592
"2020-11-30 00:00:00",29816,50937,593
"2020-12-01 00:00:00",29839,50953,594
"2020-12-02 00:00:00",29869,50975,593
"2020-12-03 00:00:00",29878,51001,595
"2020-12-04 00:00:00",29895,51023,595
"2020-12-05 00:00:00",29903,51046,596
"2020-12-06 00:00:00",29903,51064,597
