"Category","binance","bittrex","bitfinex"
"30.00%",52508.015299999985,184.96258842999995,7262.019340509998
"20.00%",47218.42260000001,130.60325090999999,7262.019340509998
"10.00%",15388.840300000014,77.58168591,7262.019340509998
"5.00%",7478.580500000031,51.57496652000001,7066.271813869998
"1.00%",2636.646400000006,19.31472671,4074.0846041899995
"0.50%",2276.7523000000033,19.31472671,1917.8471171099995
"0.10%",679.6123000000001,1.66100038,494.38770041
"0.10%",867.9605999999999,5.426908760000001,304.76220187999996
"0.50%",2177.540199999998,12.11465394,1635.50108902
"1.00%",3625.166999999993,12.12328174,3177.0826754199998
"5.00%",12757.3096,39.48462683,7270.5547195499985
"10.00%",18929.2551,81.1816551,7270.5547195499985
"20.00%",27742.574599999996,122.91572240999997,7270.5547195499985
"30.00%",31577.471799999996,134.80774308999983,7270.5547195499985
