"TIME (Europe/Istanbul)","binance","binance","bittrex","bittrex","bitfinex","bitfinex"
"2023-06-19 08:34:00",57.05490000000001,-5.0102,0,0,0,0
"2023-06-19 08:35:00",1.8816000000000002,-3.1257,0,0,0,-0.1547
"2023-06-19 08:36:00",2.8945000000000003,-23.331000000000003,0,0,0.0319093,-0.00350374
"2023-06-19 08:37:00",12.305299999999999,-6.6744,0,0,0,0
"2023-06-19 08:38:00",5.392300000000003,-14.1195,0,0,0.15,0
"2023-06-19 08:39:00",5.371099999999998,-2.8673,0,0,0,-0.049999999999999996
"2023-06-19 08:40:00",5.526000000000001,-15.095399999999996,0,0,0,-0.0234101
"2023-06-19 08:41:00",7.2374,-41.578299999999984,0,0,0.00324181,0
"2023-06-19 08:42:00",17.0955,-8.751500000000002,0,0,0,0
"2023-06-19 08:43:00",29.6874,-5.8877,0,0,0,0
"2023-06-19 08:44:00",11.606399999999997,-25.922600000000006,0,0,0.05540428,-0.2020396
"2023-06-19 08:45:00",3.6513000000000013,-5.5385,0,0,0.002,-0.0102
"2023-06-19 08:46:00",6.663800000000002,-6.6995000000000005,0.19999998,0,0,0
"2023-06-19 08:47:00",37.9503,-18.997099999999993,0,0,0.00648356,0
"2023-06-19 08:48:00",5.2678,-22.242700000000003,0,0,0,0
"2023-06-19 08:49:00",4.139100000000001,-9.474600000000004,0,0,0,0
"2023-06-19 08:50:00",8.731499999999997,-22.982799999999997,0,0,0.04937732,-0.002
"2023-06-19 08:51:00",58.8674,-16.123499999999996,0,0,2.8125499299999994,0
"2023-06-19 08:52:00",76.06529999999997,-17.570000000000004,0,0,0.33594860000000004,0
"2023-06-19 08:53:00",66.86520000000006,-8.339200000000002,0,0,0.21400000000000002,0
"2023-06-19 08:54:00",25.576499999999996,-4.085300000000001,0.02072482,0,0.05,0
"2023-06-19 08:55:00",13.8712,-32.41880000000001,0,0,0,-0.01662998
"2023-06-19 08:56:00",23.694900000000008,-14.7056,0,0,0.05,0
"2023-06-19 08:57:00",11.744600000000004,-0.6607000000000001,0,0,0.05,0
"2023-06-19 08:58:00",62.296600000000026,-89.64980000000001,0,0,1.17221529,-1.7712999999999999
"2023-06-19 08:59:00",4.2879000000000005,-9.6059,0,0,0,0
"2023-06-19 09:00:00",11.5438,-15.653399999999998,0,0,0,0
"2023-06-19 09:01:00",16.371399999999994,-8.189699999999998,0,0,0,0
"2023-06-19 09:02:00",16.9289,-2.870399999999999,0,0,1,0
"2023-06-19 09:03:00",20.860200000000003,-19.211899999999986,0,0,0,0
"2023-06-19 09:04:00",9.784,-12.743199999999998,0,0,0.05,0
"2023-06-19 09:05:00",95.93009999999997,-2.0767,0,0,0.05,0
"2023-06-19 09:06:00",2.5530000000000004,-112.9015,0,0,0,0
"2023-06-19 09:07:00",10.042799999999998,-23.498800000000003,0,0,0,-0.002
"2023-06-19 09:08:00",4.121800000000001,-28.312400000000007,0.18033742,0,0,-0.10557729
"2023-06-19 09:09:00",82.79629999999996,-27.755599999999994,0,0,0,0
"2023-06-19 09:10:00",58.713799999999985,-2.9831999999999996,0,0,0,0
"2023-06-19 09:11:00",7.915200000000001,-7.690899999999999,0,0,0.049999999999999996,0
"2023-06-19 09:12:00",6.0567,-46.950199999999995,0,0,0,0
"2023-06-19 09:13:00",54.709900000000005,-1.7018999999999997,0,0,0,0
"2023-06-19 09:14:00",43.95740000000001,-22.395500000000002,0,0,0,0
"2023-06-19 09:15:00",7.4814,-8.7616,0,0,0,-0.04207117
"2023-06-19 09:16:00",13.862599999999999,-9.546400000000004,0,0,0,-0.011
"2023-06-19 09:17:00",13.564099999999994,-34.069600000000015,0,0,0.060996,0
"2023-06-19 09:18:00",5.535799999999998,-19.584899999999998,0,0,0,0
"2023-06-19 09:19:00",4.1522,-5.349899999999999,0,0,0.03239328,0
"2023-06-19 09:20:00",5.568299999999999,-13.309400000000004,0,0,0,0
"2023-06-19 09:21:00",6.3207999999999975,-2.1449000000000007,0,0,0,0
"2023-06-19 09:22:00",6.208700000000001,-18.410899999999998,0,0,0.22331499999999999,0
"2023-06-19 09:23:00",6.078700000000001,-60.4887,0,0,0,0
"2023-06-19 09:24:00",15.144799999999998,-3.904899999999999,0,0,0,0
"2023-06-19 09:25:00",56.63469999999998,-9.271399999999998,0,0,0.15390226,0
"2023-06-19 09:26:00",54.622700000000016,-2.5408999999999993,0,0,0,-0.00324189
"2023-06-19 09:27:00",3.9213999999999998,-14.333099999999998,0.0730415,0,0,0
"2023-06-19 09:28:00",15.871699999999999,-5.4025,0,0,2.7,0
"2023-06-19 09:29:00",8.3162,-64.05480000000001,0,0,0.00356243,0
"2023-06-19 09:30:00",6.221100000000001,-17.031000000000002,0,0,0.231655,0
"2023-06-19 09:31:00",7.043899999999996,-2.7559000000000005,0,0,0.03801215,0
